2026-05-11 20:01:33 | INFO     | __main__                       | Starting Joseph v1.0 — Phase 1
2026-05-11 20:01:33 | INFO     | __main__                       | ============================================================
2026-05-11 20:01:34 | DEBUG    | memory.short_term              | ShortTermMemory initialized with limit=20
2026-05-11 20:01:34 | DEBUG    | memory.long_term               | Database schema initialized
2026-05-11 20:01:34 | INFO     | memory.long_term               | LongTermMemory initialized at C:\Users\Grayson\Desktop\Joseph\data\memory.db
2026-05-11 20:01:34 | INFO     | memory.chroma_store            | ChromaDB ready: collection='joseph_memory', documents=1
2026-05-11 20:01:34 | INFO     | memory.memory_manager          | MemoryManager initialized (session: 38ebcb3f...)
2026-05-11 20:01:36 | DEBUG    | brain.llm_interface            | Available Ollama models: ['llama3:latest']
2026-05-11 20:01:36 | INFO     | brain.llm_interface            | LLM ready: llama3
2026-05-11 20:01:36 | INFO     | memory.short_term              | Short-term memory cleared (0 messages removed)
2026-05-11 20:01:36 | INFO     | memory.long_term               | Session started: 8e1b588a-f473-4e47-805b-95be3f5e71c1
2026-05-11 20:01:36 | INFO     | memory.memory_manager          | Session started: 8e1b588a...
2026-05-11 20:01:36 | INFO     | __main__                       | Chat loop started
2026-05-11 20:01:50 | DEBUG    | memory.short_term              | STM add [user]: hello joseph my dad mark wants to say hi...
2026-05-11 20:01:50 | DEBUG    | memory.memory_manager          | User message added to STM: hello joseph my dad mark wants to say hi
2026-05-11 20:01:51 | DEBUG    | memory.chroma_store            | ChromaDB search 'hello joseph my dad mark wants...': 1 results
2026-05-11 20:01:51 | DEBUG    | brain.llm_interface            | Streaming from llama3
2026-05-11 20:02:02 | DEBUG    | memory.short_term              | STM add [assistant]: Hello there! It's great to hear from you, but just so we're ...
2026-05-11 20:02:02 | DEBUG    | memory.memory_manager          | Assistant message added to STM: Hello there! It's great to hear from you, but just so we're 
2026-05-11 20:44:15 | INFO     | configs.logging_config         | Logging initialized — level=INFO, file=C:\Users\Grayson\Desktop\Joseph\logs\joseph.log
2026-05-11 20:44:16 | INFO     | __main__                       | ============================================================
2026-05-11 20:44:16 | INFO     | __main__                       | Starting Joseph v1.0 — Phase 1
2026-05-11 20:44:16 | INFO     | __main__                       | ============================================================
2026-05-11 20:44:17 | DEBUG    | memory.short_term              | ShortTermMemory initialized with limit=20
2026-05-11 20:44:17 | DEBUG    | memory.long_term               | Database schema initialized
2026-05-11 20:44:17 | INFO     | memory.long_term               | LongTermMemory initialized at C:\Users\Grayson\Desktop\Joseph\data\memory.db
2026-05-11 20:44:18 | INFO     | memory.chroma_store            | ChromaDB ready: collection='joseph_memory', documents=1
2026-05-11 20:44:18 | INFO     | memory.memory_manager          | MemoryManager initialized (session: 703b851c...)
2026-05-11 20:44:20 | DEBUG    | brain.llm_interface            | Available Ollama models: ['llama3:latest']
2026-05-11 20:44:20 | INFO     | brain.llm_interface            | LLM ready: llama3
2026-05-11 20:44:21 | INFO     | memory.short_term              | Short-term memory cleared (0 messages removed)
2026-05-11 20:44:21 | INFO     | memory.long_term               | Session started: 9b7ba640-0ace-40d6-a6d6-5acbd91f1c5c
2026-05-11 20:44:21 | INFO     | memory.memory_manager          | Session started: 9b7ba640...
2026-05-11 20:44:22 | DEBUG    | memory.short_term              | STM add [assistant]: Evening. Still at it? What do you need?...
2026-05-11 20:44:22 | DEBUG    | memory.memory_manager          | Assistant message added to STM: Evening. Still at it? What do you need?
2026-05-11 20:44:22 | DEBUG    | comtypes                       | CoInitializeEx(None, 2)
2026-05-11 20:44:22 | INFO     | comtypes.client._code_cache    | Imported existing <module 'comtypes.gen' from 'C:\\Users\\Grayson\\Desktop\\Joseph\\venv\\Lib\\site-packages\\comtypes\\gen\\__init__.py'>
2026-05-11 20:44:22 | INFO     | comtypes.client._code_cache    | Using writeable comtypes cache directory: 'C:\Users\Grayson\Desktop\Joseph\venv\Lib\site-packages\comtypes\gen'
2026-05-11 20:44:22 | DEBUG    | comtypes.client._create        | SAPI.SPVoice -> {96749377-3391-11D2-9EE3-00C04F797396}
2026-05-11 20:44:22 | DEBUG    | comtypes.client._create        | CoCreateInstance({96749377-3391-11D2-9EE3-00C04F797396}, clsctx=None, interface=None)
2026-05-11 20:44:22 | DEBUG    | comtypes.client._managing      | GetBestInterface(<POINTER(IUnknown) ptr=0x29215311970 at 2921dd50150>)
2026-05-11 20:44:22 | DEBUG    | comtypes.client._managing      | Does implement IProvideClassInfo
2026-05-11 20:44:22 | DEBUG    | comtypes.client._managing      | Default interface is {269316D8-57BD-11D2-9EEE-00C04F797396}
2026-05-11 20:44:22 | DEBUG    | comtypes._post_coinit.unknwn   | Release <POINTER(IUnknown) ptr=0x292153119b0 at 2921dd504d0>
2026-05-11 20:44:22 | DEBUG    | comtypes.client._generate      | GetModule(TLIBATTR(GUID={C866CA3A-32F7-11D2-9602-00C04F8EE628}, Version=5.4, LCID=0, FLags=0x8))
2026-05-11 20:44:22 | DEBUG    | comtypes.client._managing      | Implements default interface from typeinfo <class 'comtypes.gen._C866CA3A_32F7_11D2_9602_00C04F8EE628_0_5_4.ISpeechVoice'>
2026-05-11 20:44:22 | DEBUG    | comtypes.client._managing      | Final result is <POINTER(ISpeechVoice) ptr=0x292153119b0 at 2921dd50450>
2026-05-11 20:44:22 | DEBUG    | comtypes._post_coinit.unknwn   | Release <POINTER(IProvideClassInfo) ptr=0x292153119d0 at 2921dd50050>
2026-05-11 20:44:22 | DEBUG    | comtypes._post_coinit.unknwn   | Release <POINTER(ITypeInfo) ptr=0x292748cbb78 at 2921dd500d0>
2026-05-11 20:44:22 | DEBUG    | comtypes._post_coinit.unknwn   | Release <POINTER(ITypeInfo) ptr=0x292748cbbd0 at 2921dd502d0>
2026-05-11 20:44:22 | DEBUG    | comtypes._post_coinit.unknwn   | Release <POINTER(ITypeLib) ptr=0x29214ef7c90 at 2921dd504d0>
2026-05-11 20:44:22 | DEBUG    | comtypes._post_coinit.unknwn   | Release <POINTER(IUnknown) ptr=0x29215311970 at 2921dd50150>
2026-05-11 20:44:22 | DEBUG    | comtypes.client._events        | <POINTER(ISpeechVoice) ptr=0x292153119b0 at 2921dd50450> using sinkinterface from clsid <class 'comtypes.gen._C866CA3A_32F7_11D2_9602_00C04F8EE628_0_5_4._ISpeechVoiceEvents'>
2026-05-11 20:44:22 | DEBUG    | comtypes._post_coinit.unknwn   | Release <POINTER(IProvideClassInfo2) ptr=0x292153119d0 at 2921d85e150>
2026-05-11 20:44:22 | DEBUG    | comtypes._vtbl                 | <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000002921DD29D50>: _ISpeechVoiceEvents.VoiceChange not implemented
2026-05-11 20:44:22 | DEBUG    | comtypes._vtbl                 | <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000002921DD29D50>: _ISpeechVoiceEvents.Bookmark not implemented
2026-05-11 20:44:22 | DEBUG    | comtypes._vtbl                 | <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000002921DD29D50>: _ISpeechVoiceEvents.Sentence not implemented
2026-05-11 20:44:22 | DEBUG    | comtypes._vtbl                 | <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000002921DD29D50>: _ISpeechVoiceEvents.Phoneme not implemented
